feature,classifier,accuracy,precision,recall,f1,auc
DFT,SVM,0.796,0.7936507936507936,0.8,0.796812749003984,0.8649760000000001
DFT,KNN,0.751,0.774617067833698,0.708,0.7398119122257053,0.825298
HIST,SVM,0.77,0.7732793522267206,0.764,0.7686116700201208,0.8582839999999999
HIST,KNN,0.742,0.7585470085470085,0.71,0.7334710743801653,0.815356
HOG,SVM,0.753,0.7485265225933202,0.762,0.755203171456888,0.8192400000000002
HOG,KNN,0.674,0.6968325791855203,0.616,0.6539278131634819,0.754688
SOBEL,SVM,0.71,0.7125506072874493,0.704,0.7082494969818913,0.749536
SOBEL,KNN,0.649,0.6555323590814196,0.628,0.6414708886618999,0.69883
ALL,KMeans(unsup),0.608,nan,nan,nan,nan
